timestamp,symbol,regime,actual_winner,simulated_winner,actual_expected_pnl,simulated_expected_pnl,expected_pnl_delta,candidate_list,simulated_order
2026-02-04 22:30:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-04 22:35:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-04 22:40:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-04 22:45:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-04 22:50:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-04 22:55:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-04 23:00:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-04 23:05:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-04 23:10:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-04 23:15:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-04 23:20:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-04 23:25:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-04 23:30:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-04 23:35:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-04 23:40:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-04 23:45:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-04 23:50:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-04 23:55:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 00:00:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 00:05:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 00:10:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 00:15:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 00:20:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 00:25:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 00:30:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 00:35:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 00:40:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 00:45:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 00:50:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 00:55:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 01:00:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 01:05:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 01:10:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 01:15:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 01:20:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 01:25:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 01:30:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 01:35:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 01:40:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 01:45:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 01:50:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 01:55:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 02:00:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 02:05:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 02:10:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 02:15:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 02:20:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 02:25:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 02:30:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 02:35:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 02:40:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 02:45:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 02:50:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 02:55:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 03:00:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 03:05:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 03:10:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 03:15:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 03:20:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 03:25:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 03:30:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 03:35:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 03:40:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 03:45:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 03:50:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 03:55:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 04:00:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-02-05 04:05:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,counter_vwap,router,counter_vwap,counter_vwap,router,counter_vwap,router,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
